date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:39	86298/86298	---MCZ	200	added ('OK')	text/html	etag:615c6d121149479569ce00ec73f3d504	http://unbouncepages.com/learn-landing-theme-template/	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/unbouncepages.com/learn-landing-theme-template/index.html	(from )
13:31:39	52/52	---MCZ	200	added ('OK')	text/plain	etag:042ac8fe5a0944a266b4ed8ff19201f5	http://unbouncepages.com/robots.txt		(from )
13:31:39	867/867	---M--	200	added ('OK')	text/css	etag:%2211eb425768496ded1051e3478ba51c5b%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/reset-81c62fcc415bd2d6fa009d66c47174b6.css	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/reset-81c62fcc415bd2d6fa009d66c47174b6.css	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:40	14356/14356	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Oct%202014%2013:52:34%20GMT	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/page_defaults-9bb8f9c34a84509389138b480c0f3020.css	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/page_defaults-9bb8f9c34a84509389138b480c0f3020.css	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:40	2626/2626	---M--	200	added ('OK')	image/png	etag:%222e782400c052d9c2cf67472d7aaa0167%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/afae14a0-logo.png	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/afae14a0-logo.png	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:40	254/254	---M--	200	added ('OK')	image/png	etag:%22d91581d9904ec7ede708d46566b57f43%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/d75f50a3-icon-01.png	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/d75f50a3-icon-01.png	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:41	205/205	---M--	200	added ('OK')	image/png	etag:%22489239f3f3adea7adc299e33078922ea%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/10f07318-icon-phone.png	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/10f07318-icon-phone.png	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:41	361/361	---M--	200	added ('OK')	image/png	etag:%22e75fc80d104d14b48996638cd2a468a3%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/b0609b9a-icon-03.png	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/b0609b9a-icon-03.png	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:41	1945/1945	---M--	200	added ('OK')	image/png	etag:%22fe8d680096b9c7bb6ed3acb8c6226a5b%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/4f5ab574-ico-77_01w02201w022000000.png	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/4f5ab574-ico-77_01w02201w022000000.png	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:42	1473/1473	---M--	200	added ('OK')	image/png	etag:%22a8fd1b3ce525587fc06d273f5d8987db%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/e9220982-ico-43_01w02201w022000000.png	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/e9220982-ico-43_01w02201w022000000.png	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:42	4387/4387	---M--	200	added ('OK')	image/png	etag:%225cc67e471bf5445b3fa454e1ce3f4d70%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/929d253f-ico-15_02202201w022003000.png	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/929d253f-ico-15_02202201w022003000.png	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:42	491/491	---M--	200	added ('OK')	image/png	etag:%221ef7ff16ee507ea4ce8b3658613e6b6e%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/99043b62-rombo.png	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/99043b62-rombo.png	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:44	16740/16740	---M--	200	added ('OK')	image/jpeg	etag:%22b47633056ae31466a0262eda9c98dbc5%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/4d084a2a-img-suscribe_09u0bs09u0bs000000.jpg	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/4d084a2a-img-suscribe_09u0bs09u0bs000000.jpg	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:47	52600/52600	---M--	200	added ('OK')	image/png	etag:%226b44f236b375e3943c5c3200719b9456%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/e2ff42c0-img-intro_0av0ch0av0ch000000.png	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/e2ff42c0-img-intro_0av0ch0av0ch000000.png	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:48	272/272	---M--	200	added ('OK')	image/jpeg	etag:%226b9f940bdb146a0f6bab1564ba15967b%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/ceac9e81-pliegue-01.jpg	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/ceac9e81-pliegue-01.jpg	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:48	735/735	---M--	200	added ('OK')	image/png	etag:%2257f37285ea15b055f5279b617448874e%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/0a78602d-icon-01.png	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/0a78602d-icon-01.png	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:48	591/591	---M--	200	added ('OK')	image/png	etag:%2219925c02886044400347298fba5221ba%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/dd09d8a7-icon-02.png	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/dd09d8a7-icon-02.png	(from http://unbouncepages.com/learn-landing-theme-template/)
13:31:49	202/202	---M--	200	added ('OK')	image/png	etag:%2252be55eeaddf9f01d895c0664f7811a9%22	http://d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/69e13833-icon-03.png	D:/SERVER/scm/template/landing-page/Unbounce%20Education%20Classes%20Landing%20Page%20v-1/d9hhrg4mnvzow.cloudfront.net/unbouncepages.com/learn-landing-theme-template/69e13833-icon-03.png	(from http://unbouncepages.com/learn-landing-theme-template/)
